"id","nodeID","secuencia","tempC","light","RSSI","LQI","latency","date"
"1","2.00","206","20","114","82","104","751","2016-12-29 14:53:43"
"2","2.00","210","20","115","81","105","23","2016-12-29 14:53:51"
"3","2.00","212","20","115","81","105","822","2016-12-29 14:53:55"
"4","2.00","214","20","114","82","106","1043","2016-12-29 14:53:59"
"5","2.00","217","20","114","81","104","286","2016-12-29 14:54:07"
"6","2.00","218","20","114","80","104","1246","2016-12-29 14:54:09"
"7","2.00","219","20","115","80","104","1212","2016-12-29 14:54:11"
"8","2.00","223","20","114","80","103","433","2016-12-29 14:54:19"
"9","2.00","224","20","115","80","103","969","2016-12-29 14:54:21"
"10","2.00","225","20","115","81","106","1050","2016-12-29 14:54:23"
"11","2.00","226","20","114","80","106","478","2016-12-29 14:54:25"
"12","2.00","227","20","118","80","107","884","2016-12-29 14:54:27"
"13","2.00","229","20","115","81","103","530","2016-12-29 14:54:31"
"14","2.00","231","20","112","81","107","235","2016-12-29 14:54:35"
"15","2.00","232","20","115","80","103","1347","2016-12-29 14:54:37"
"16","2.00","237","20","115","81","103","1361","2016-12-29 14:54:47"
"17","2.00","238","20","117","80","106","1024","2016-12-29 14:54:49"
"18","2.00","239","20","115","82","104","80","2016-12-29 14:54:51"
"19","2.00","240","20","114","82","106","908","2016-12-29 14:54:53"
"20","2.00","242","20","114","82","105","588","2016-12-29 14:54:57"
"21","2.00","243","20","112","82","104","827","2016-12-29 14:54:59"
"22","2.00","245","20","114","80","106","241","2016-12-29 14:55:03"
"23","2.00","246","20","115","81","106","845","2016-12-29 14:55:05"
"24","2.00","250","20","115","81","105","25","2016-12-29 14:55:13"
"25","2.00","251","20","114","80","105","417","2016-12-29 14:55:15"
"26","2.00","252","20","114","81","104","861","2016-12-29 14:55:17"
"27","2.00","253","20","114","83","99","579","2016-12-29 14:55:19"
"28","2.00","254","20","111","80","107","1020","2016-12-29 14:55:21"
"29","2.00","255","20","112","80","106","887","2016-12-29 14:55:23"
"30","2.00","257","20","114","79","99","33","2016-12-29 14:55:27"
"31","2.00","259","20","115","81","104","980","2016-12-29 14:55:31"
"32","2.00","262","20","115","81","105","1167","2016-12-29 14:55:39"
"33","2.00","264","20","115","81","106","883","2016-12-29 14:55:43"
"34","2.00","266","20","117","81","104","494","2016-12-29 14:55:47"
"35","2.00","267","20","115","81","104","101","2016-12-29 14:55:49"
"36","2.00","268","20","115","81","101","518","2016-12-29 14:55:51"
"37","2.00","269","20","115","81","104","17","2016-12-29 14:55:53"
"38","2.00","270","20","114","81","106","1126","2016-12-29 14:55:55"
"39","2.00","271","20","115","79","106","859","2016-12-29 14:55:57"
"40","2.00","272","20","114","81","104","970","2016-12-29 14:55:59"
"41","2.00","273","20","115","80","104","1295","2016-12-29 14:56:01"
"42","2.00","274","20","112","81","106","627","2016-12-29 14:56:03"
"43","2.00","276","20","114","80","103","429","2016-12-29 14:56:07"
"44","2.00","277","20","115","81","100","695","2016-12-29 14:56:09"
"45","2.00","278","20","115","80","105","284","2016-12-29 14:56:11"
"46","2.00","279","20","115","80","107","986","2016-12-29 14:56:13"
"47","2.00","281","20","115","79","80","379","2016-12-29 14:56:17"
"48","2.00","284","20","117","81","105","820","2016-12-29 14:56:23"
"49","2.00","287","20","114","81","104","292","2016-12-29 14:56:27"
"50","2.00","288","20","114","81","103","1010","2016-12-29 14:56:29"
"51","2.00","289","20","114","80","102","813","2016-12-29 14:56:31"
"52","2.00","290","20","114","80","102","317","2016-12-29 14:56:33"
"53","2.00","292","20","115","80","107","798","2016-12-29 14:56:37"
"54","2.00","295","20","115","80","104","863","2016-12-29 14:56:45"
"55","2.00","296","20","115","79","104","931","2016-12-29 14:56:47"
"56","2.00","297","20","112","81","104","899","2016-12-29 14:56:49"
"57","2.00","299","20","114","80","108","716","2016-12-29 14:56:53"
"58","2.00","300","20","115","82","100","602","2016-12-29 14:56:55"
"59","2.00","301","20","115","79","107","462","2016-12-29 14:56:57"
"60","2.00","304","20","114","80","105","174","2016-12-29 14:57:01"
"61","2.00","305","20","115","81","106","790","2016-12-29 14:57:03"
"62","2.00","306","20","114","80","106","399","2016-12-29 14:57:05"
"63","2.00","307","20","114","79","107","573","2016-12-29 14:57:07"
"64","2.00","309","20","114","80","106","127","2016-12-29 14:57:09"
"65","2.00","310","20","114","81","105","493","2016-12-29 14:57:11"
"66","2.00","311","20","114","82","100","174","2016-12-29 14:57:13"
"67","2.00","314","20","112","81","101","81","2016-12-29 14:57:21"
"68","2.00","315","20","114","81","103","145","2016-12-29 14:57:23"
"69","2.00","316","20","114","81","104","776","2016-12-29 14:57:25"
"70","2.00","317","20","114","80","104","609","2016-12-29 14:57:27"
"71","2.00","319","20","115","81","105","237","2016-12-29 14:57:31"
"72","2.00","321","20","114","81","104","128","2016-12-29 14:57:33"
"73","2.00","322","20","111","83","102","528","2016-12-29 14:57:35"
"74","2.00","323","20","111","82","104","174","2016-12-29 14:57:37"
"75","2.00","324","20","115","82","103","26","2016-12-29 14:57:39"
"76","2.00","331","20","114","80","104","245","2016-12-29 14:57:53"
"77","2.00","332","20","114","79","102","77","2016-12-29 14:57:55"
"78","2.00","333","20","112","80","100","483","2016-12-29 14:57:57"
"79","2.00","335","20","115","80","103","26","2016-12-29 14:58:01"
"80","2.00","338","20","114","80","106","645","2016-12-29 14:58:07"
"81","2.00","341","20","114","80","107","1213","2016-12-29 14:58:15"
"82","2.00","342","20","114","81","103","25","2016-12-29 14:58:17"
"83","2.00","343","20","115","81","99","181","2016-12-29 14:58:19"
"84","2.00","344","20","112","81","104","1089","2016-12-29 14:58:21"
"85","2.00","347","20","115","81","105","150","2016-12-29 14:58:29"
"86","2.00","349","20","115","80","106","1111","2016-12-29 14:58:33"
"87","2.00","352","20","115","80","83","494","2016-12-29 14:58:41"
"88","2.00","353","20","114","81","103","954","2016-12-29 14:58:43"
"89","2.00","355","20","115","81","104","512","2016-12-29 14:58:49"
"90","2.00","356","20","115","81","106","150","2016-12-29 14:58:51"
"91","2.00","357","20","114","80","106","180","2016-12-29 14:58:53"
"92","2.00","358","20","114","81","108","1197","2016-12-29 14:58:55"
"93","2.00","359","20","115","80","103","525","2016-12-29 14:58:57"
"94","2.00","361","20","114","80","102","462","2016-12-29 14:59:03"
"95","2.00","362","20","115","79","106","1216","2016-12-29 14:59:05"
"96","2.00","365","20","115","78","106","180","2016-12-29 14:59:11"
"97","2.00","368","20","115","80","104","1357","2016-12-29 14:59:17"
"98","2.00","369","20","114","80","105","782","2016-12-29 14:59:19"
"99","2.00","370","20","114","81","105","338","2016-12-29 14:59:21"
"100","2.00","373","20","111","81","106","366","2016-12-29 14:59:27"
"101","2.00","374","20","114","81","105","166","2016-12-29 14:59:29"
"102","2.00","377","20","114","80","103","719","2016-12-29 14:59:35"
"103","2.00","378","20","115","80","105","40","2016-12-29 14:59:37"
"104","2.00","379","20","114","79","107","25","2016-12-29 14:59:39"
"105","2.00","380","20","114","80","106","17","2016-12-29 14:59:41"
"106","2.00","381","20","114","80","105","843","2016-12-29 14:59:43"
"107","2.00","386","20","114","81","104","946","2016-12-29 14:59:53"
"108","2.00","388","20","114","80","106","25","2016-12-29 14:59:57"
"109","2.00","391","20","114","80","103","119","2016-12-29 15:00:01"
"110","2.00","394","20","115","81","105","525","2016-12-29 15:00:09"
"111","2.00","396","20","114","80","103","290","2016-12-29 15:00:13"
"112","2.00","397","20","112","81","106","1267","2016-12-29 15:00:15"
"113","2.00","398","20","115","83","102","25","2016-12-29 15:00:17"
"114","2.00","399","20","112","80","104","1150","2016-12-29 15:00:19"
"115","2.00","400","20","115","81","106","272","2016-12-29 15:00:21"
"116","2.00","402","20","115","81","105","226","2016-12-29 15:00:25"
"117","2.00","403","20","115","81","107","330","2016-12-29 15:00:27"
"118","2.00","406","20","114","81","104","869","2016-12-29 15:00:33"
"119","2.00","407","20","114","81","105","1071","2016-12-29 15:00:35"
"120","2.00","409","20","112","82","102","94","2016-12-29 15:00:39"
"121","2.00","410","20","114","81","105","1008","2016-12-29 15:00:41"
"122","2.00","411","20","114","82","105","234","2016-12-29 15:00:43"
"123","2.00","414","20","117","82","104","658","2016-12-29 15:00:51"
"124","2.00","416","20","115","82","106","22","2016-12-29 15:00:55"
"125","2.00","417","20","115","81","104","642","2016-12-29 15:00:57"
"126","2.00","420","20","117","81","104","229","2016-12-29 15:01:03"
"127","2.00","422","20","115","81","104","866","2016-12-29 15:01:07"
"128","2.00","424","20","115","82","105","740","2016-12-29 15:01:11"
"129","2.00","427","20","114","81","104","508","2016-12-29 15:01:17"
"130","2.00","430","20","115","81","102","510","2016-12-29 15:01:23"
"131","2.00","431","20","115","81","106","696","2016-12-29 15:01:25"
"132","2.00","432","20","115","81","105","24","2016-12-29 15:01:27"
"133","2.00","433","20","114","81","106","720","2016-12-29 15:01:29"
"134","2.00","436","20","115","80","105","23","2016-12-29 15:01:37"
"135","2.00","438","20","117","81","105","228","2016-12-29 15:01:41"
"136","2.00","439","20","114","82","102","1244","2016-12-29 15:01:43"
"137","2.00","441","20","117","82","105","970","2016-12-29 15:01:49"
"138","2.00","442","20","115","82","102","298","2016-12-29 15:01:51"
"139","2.00","445","20","114","81","107","791","2016-12-29 15:01:57"
"140","2.00","446","20","115","81","102","587","2016-12-29 15:01:59"
"141","2.00","448","20","115","81","106","1096","2016-12-29 15:02:03"
"142","2.00","449","20","115","81","102","751","2016-12-29 15:02:05"
"143","2.00","450","20","114","80","104","150","2016-12-29 15:02:07"
"144","2.00","452","20","114","81","103","24","2016-12-29 15:02:09"
"145","2.00","456","20","115","81","102","346","2016-12-29 15:02:19"
"146","2.00","457","20","115","82","105","579","2016-12-29 15:02:21"
"147","2.00","458","20","114","81","103","402","2016-12-29 15:02:23"
"148","2.00","459","20","115","81","105","254","2016-12-29 15:02:25"
"149","2.00","461","20","114","81","105","375","2016-12-29 15:02:29"
"150","2.00","462","20","112","81","105","744","2016-12-29 15:02:31"
"151","2.00","465","20","114","81","105","33","2016-12-29 15:02:35"
"152","2.00","466","20","114","81","106","21","2016-12-29 15:02:37"
"153","2.00","467","20","114","81","103","892","2016-12-29 15:02:39"
"154","2.00","469","20","114","81","103","600","2016-12-29 15:02:43"
"155","2.00","471","20","115","81","104","670","2016-12-29 15:02:47"
"156","2.00","473","20","114","81","103","1100","2016-12-29 15:02:51"
"157","2.00","474","20","115","82","101","766","2016-12-29 15:02:53"
"158","2.00","477","20","115","81","101","519","2016-12-29 15:02:59"
"159","2.00","479","20","115","81","103","662","2016-12-29 15:03:03"
"160","2.00","480","20","114","82","102","1004","2016-12-29 15:03:05"
"161","2.00","481","20","115","81","100","933","2016-12-29 15:03:07"
"162","2.00","483","20","115","82","104","881","2016-12-29 15:03:11"
"163","2.00","485","20","115","81","105","164","2016-12-29 15:03:15"
"164","2.00","486","20","114","81","101","746","2016-12-29 15:03:17"
"165","2.00","489","20","115","81","103","819","2016-12-29 15:03:23"
"166","2.00","491","20","114","80","101","458","2016-12-29 15:03:29"
"167","2.00","498","20","112","81","105","454","2016-12-29 15:03:43"
"168","2.00","499","20","114","81","107","25","2016-12-29 15:03:45"
"169","2.00","501","20","112","81","105","496","2016-12-29 15:03:49"
"170","2.00","502","20","115","81","104","644","2016-12-29 15:03:51"
"171","2.00","504","20","115","81","106","24","2016-12-29 15:03:55"
"172","2.00","510","20","115","81","104","1142","2016-12-29 15:04:07"
"173","2.00","511","20","115","80","104","1466","2016-12-29 15:04:09"
"174","2.00","512","20","114","80","105","553","2016-12-29 15:04:11"
"175","2.00","515","20","114","81","102","220","2016-12-29 15:04:17"
"176","2.00","516","20","115","80","106","462","2016-12-29 15:04:19"
"177","2.00","517","20","114","81","104","24","2016-12-29 15:04:21"
"178","2.00","518","20","114","81","105","815","2016-12-29 15:04:23"
"179","2.00","520","20","114","81","103","24","2016-12-29 15:04:25"
"180","2.00","522","20","115","80","107","346","2016-12-29 15:04:29"
"181","2.00","525","20","115","81","102","764","2016-12-29 15:04:35"
"182","2.00","526","20","114","82","102","115","2016-12-29 15:04:37"
"183","2.00","527","20","114","81","105","759","2016-12-29 15:04:39"
"184","2.00","528","20","115","81","103","1024","2016-12-29 15:04:41"
"185","2.00","530","20","115","82","106","410","2016-12-29 15:04:45"
"186","2.00","533","20","115","81","105","462","2016-12-29 15:04:51"
"187","2.00","534","20","115","81","106","861","2016-12-29 15:04:53"
"188","2.00","535","20","115","81","105","189","2016-12-29 15:04:55"
